user_id,event_type,product_id,timestamp
1,viewed,149,2025-04-03
1,viewed,17,2025-03-03
1,add-to-cart,131,2025-03-27
1,viewed,57,2025-04-06
1,viewed,177,2025-04-11
1,add-to-cart,20,2025-03-05
1,viewed,72,2025-03-03
1,add-to-cart,175,2025-04-10
1,viewed,77,2025-04-04
1,viewed,126,2025-03-21
1,viewed,170,2025-03-20
1,viewed,169,2025-04-29
1,viewed,67,2025-04-04
1,viewed,92,2025-04-04
1,viewed,40,2025-03-10
1,add-to-cart,25,2025-03-13
1,viewed,66,2025-03-20
1,add-to-cart,197,2025-03-08
1,add-to-cart,153,2025-03-22
1,viewed,79,2025-03-26
1,add-to-cart,132,2025-03-18
1,viewed,15,2025-03-16
1,purchased,149,2025-03-21
1,purchased,22,2025-04-17
1,viewed,120,2025-03-12
1,viewed,4,2025-04-01
1,viewed,181,2025-03-25
1,viewed,174,2025-03-25
1,viewed,155,2025-03-25
1,viewed,112,2025-04-23
1,viewed,113,2025-04-15
1,viewed,19,2025-04-01
1,viewed,141,2025-03-19
1,viewed,154,2025-04-07
1,viewed,122,2025-03-13
1,add-to-cart,169,2025-03-21
1,purchased,123,2025-03-17
1,viewed,8,2025-03-14
1,add-to-cart,82,2025-04-12
1,viewed,198,2025-04-09
1,viewed,25,2025-03-09
2,add-to-cart,173,2024-12-29
2,viewed,193,2025-01-07
2,add-to-cart,192,2025-01-19
2,add-to-cart,148,2025-02-04
2,viewed,20,2025-01-28
2,add-to-cart,1,2024-12-15
2,viewed,179,2025-01-14
2,purchased,83,2025-01-02
2,viewed,115,2024-12-15
2,viewed,196,2025-01-26
2,purchased,9,2025-02-02
2,viewed,134,2025-01-12
2,add-to-cart,153,2024-12-17
2,add-to-cart,194,2025-01-09
2,add-to-cart,15,2025-01-14
2,purchased,200,2025-01-28
2,viewed,117,2025-01-13
2,add-to-cart,111,2024-12-26
2,purchased,28,2025-01-18
2,add-to-cart,119,2025-01-15
2,viewed,171,2025-01-27
2,viewed,127,2025-01-09
2,viewed,94,2025-01-07
2,purchased,66,2025-01-12
2,viewed,17,2025-02-01
2,add-to-cart,37,2025-01-05
3,viewed,200,2025-05-14
3,viewed,77,2025-05-23
4,add-to-cart,92,2025-04-23
4,add-to-cart,16,2025-05-05
4,viewed,1,2025-04-12
4,viewed,96,2025-04-26
4,add-to-cart,79,2025-05-08
4,viewed,96,2025-04-04
4,add-to-cart,48,2025-05-06
4,viewed,81,2025-05-03
4,purchased,98,2025-03-31
4,viewed,23,2025-04-30
4,purchased,94,2025-04-25
4,viewed,43,2025-05-19
4,viewed,136,2025-04-16
4,viewed,14,2025-04-27
4,viewed,103,2025-03-30
4,add-to-cart,29,2025-03-31
4,add-to-cart,171,2025-04-15
4,viewed,75,2025-04-14
4,add-to-cart,94,2025-05-10
4,add-to-cart,95,2025-04-25
4,viewed,173,2025-05-21
4,add-to-cart,123,2025-05-25
4,viewed,138,2025-05-20
4,viewed,15,2025-04-18
4,viewed,148,2025-05-21
4,add-to-cart,187,2025-04-11
4,add-to-cart,6,2025-04-02
4,viewed,69,2025-04-18
4,viewed,72,2025-05-10
4,viewed,180,2025-05-16
4,viewed,2,2025-04-28
4,add-to-cart,197,2025-04-16
4,purchased,106,2025-04-09
4,add-to-cart,90,2025-05-19
4,viewed,78,2025-05-09
5,viewed,128,2025-01-10
5,viewed,187,2025-01-16
5,add-to-cart,143,2025-01-12
5,add-to-cart,17,2025-01-21
5,add-to-cart,183,2025-01-18
5,add-to-cart,51,2025-03-01
5,add-to-cart,74,2025-01-31
5,purchased,169,2025-01-09
5,viewed,99,2025-02-10
5,add-to-cart,30,2025-01-16
6,viewed,48,2025-01-20
6,viewed,43,2025-02-03
6,add-to-cart,69,2025-02-01
6,viewed,178,2025-01-06
6,add-to-cart,98,2025-01-22
6,add-to-cart,167,2025-02-21
6,add-to-cart,159,2025-01-14
6,add-to-cart,81,2025-02-27
6,viewed,172,2025-01-30
6,viewed,98,2025-03-04
6,add-to-cart,65,2025-02-23
6,purchased,84,2025-01-31
6,purchased,50,2025-02-14
6,viewed,199,2025-01-24
6,viewed,106,2025-01-14
7,viewed,96,2025-04-28
7,viewed,68,2025-05-18
7,viewed,175,2025-05-25
7,add-to-cart,136,2025-05-05
7,viewed,88,2025-05-07
7,purchased,153,2025-05-12
7,viewed,166,2025-05-03
7,viewed,143,2025-05-10
7,add-to-cart,58,2025-05-20
7,viewed,49,2025-05-11
7,viewed,154,2025-04-27
7,viewed,197,2025-05-08
8,viewed,120,2025-02-06
8,viewed,122,2025-02-04
8,viewed,180,2024-12-23
8,add-to-cart,107,2025-01-19
8,add-to-cart,33,2025-01-23
8,viewed,29,2025-01-02
8,viewed,90,2025-01-06
8,viewed,152,2024-12-27
8,purchased,189,2024-12-25
8,viewed,55,2025-01-03
8,add-to-cart,180,2025-02-03
8,add-to-cart,96,2025-01-17
8,viewed,198,2025-01-28
9,viewed,147,2024-07-20
9,viewed,73,2024-07-05
9,add-to-cart,93,2024-07-16
9,add-to-cart,104,2024-07-02
9,viewed,54,2024-07-30
9,viewed,69,2024-07-29
9,add-to-cart,143,2024-07-12
9,viewed,134,2024-08-13
9,add-to-cart,23,2024-06-25
9,viewed,13,2024-08-04
9,add-to-cart,91,2024-06-28
9,viewed,7,2024-07-27
9,add-to-cart,194,2024-06-26
9,add-to-cart,169,2024-07-25
9,add-to-cart,24,2024-08-20
9,add-to-cart,187,2024-06-23
9,viewed,41,2024-07-03
9,viewed,82,2024-08-15
9,add-to-cart,158,2024-07-22
9,add-to-cart,96,2024-08-18
9,viewed,158,2024-07-03
9,viewed,62,2024-07-26
9,viewed,158,2024-06-30
9,viewed,17,2024-07-28
9,add-to-cart,11,2024-07-22
9,add-to-cart,172,2024-07-03
9,add-to-cart,192,2024-07-07
9,add-to-cart,58,2024-07-14
9,viewed,81,2024-08-10
9,viewed,144,2024-06-27
9,viewed,116,2024-06-25
9,viewed,142,2024-07-12
10,viewed,39,2025-01-30
10,viewed,182,2025-02-25
10,viewed,185,2025-02-26
10,viewed,176,2025-02-12
10,add-to-cart,140,2025-01-30
10,viewed,12,2025-03-03
10,viewed,119,2025-01-15
10,add-to-cart,139,2025-01-17
10,viewed,128,2025-01-26
10,add-to-cart,129,2025-01-19
10,viewed,148,2025-03-04
10,add-to-cart,31,2025-01-21
10,purchased,169,2025-02-14
10,viewed,138,2025-03-14
10,add-to-cart,185,2025-01-19
10,viewed,160,2025-02-08
10,viewed,22,2025-03-15
10,add-to-cart,162,2025-02-03
10,purchased,128,2025-01-26
10,add-to-cart,23,2025-03-04
10,add-to-cart,27,2025-02-27
10,add-to-cart,93,2025-03-04
10,viewed,132,2025-01-31
10,viewed,19,2025-02-16
10,viewed,128,2025-03-02
10,add-to-cart,74,2025-03-06
10,viewed,57,2025-02-26
10,viewed,42,2025-01-29
10,viewed,72,2025-01-24
10,viewed,92,2025-02-10
10,viewed,91,2025-02-24
10,add-to-cart,121,2025-03-14
10,viewed,162,2025-02-19
10,add-to-cart,118,2025-01-23
10,add-to-cart,86,2025-01-26
10,add-to-cart,159,2025-01-14
10,viewed,192,2025-03-11
10,add-to-cart,120,2025-03-03
10,add-to-cart,103,2025-03-05
11,viewed,25,2025-03-29
11,viewed,17,2025-04-01
11,viewed,192,2025-04-17
11,viewed,96,2025-04-25
11,add-to-cart,65,2025-03-19
11,viewed,52,2025-05-01
11,viewed,182,2025-03-18
11,add-to-cart,142,2025-04-09
11,purchased,7,2025-05-01
11,viewed,113,2025-04-26
11,viewed,63,2025-03-16
11,add-to-cart,57,2025-04-23
11,add-to-cart,165,2025-03-19
11,viewed,116,2025-04-09
11,viewed,126,2025-04-14
11,viewed,100,2025-04-28
11,add-to-cart,111,2025-04-11
11,add-to-cart,68,2025-04-12
11,purchased,125,2025-05-14
12,purchased,116,2025-05-20
12,viewed,193,2025-04-17
12,viewed,58,2025-03-27
12,add-to-cart,18,2025-04-11
12,viewed,120,2025-04-21
12,add-to-cart,140,2025-04-01
12,viewed,133,2025-04-30
12,add-to-cart,127,2025-05-08
12,viewed,178,2025-04-13
12,viewed,68,2025-04-15
12,add-to-cart,198,2025-04-30
12,viewed,61,2025-05-13
12,viewed,92,2025-05-06
12,purchased,22,2025-05-06
12,add-to-cart,192,2025-04-12
12,add-to-cart,135,2025-05-18
12,add-to-cart,101,2025-04-24
12,purchased,17,2025-04-11
12,viewed,190,2025-05-08
12,viewed,174,2025-05-17
12,viewed,27,2025-03-30
12,purchased,101,2025-04-16
12,add-to-cart,94,2025-04-15
